full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,77316,77316,6293,121,121,11,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,73846,73846,9240,373,373,37,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,25702,25702,4619,184,184,39,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,29564,29564,2271,23,23,2,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,22831,22831,2174,23,23,0,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,27749,27749,1814,52,52,3,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,6231,6231,1540,9,9,0,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,13591,13591,1506,33,33,4,https://github.com/VoltAgent/awesome-claude-code-subagents
shanraisshan/claude-code-best-practice,13947,13947,1314,119,119,10,https://github.com/shanraisshan/claude-code-best-practice
diet103/claude-code-infrastructure-showcase,9234,9234,1193,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,7771,7771,555,11,11,1,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,5787,5787,802,20,20,2,https://github.com/Piebald-AI/claude-code-system-prompts
OneRedOak/claude-code-workflows,3706,3706,545,0,0,0,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,5504,5504,471,2,2,1,https://github.com/ChrisWiles/claude-code-showcase
1rgs/claude-code-proxy,3208,3208,424,0,0,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3292,3292,574,6,6,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3587,3587,333,1,1,0,https://github.com/zebbern/claude-code-guide
ykdojo/claude-code-tips,4468,4468,317,8,8,0,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,619,619,1053,4,4,3,https://github.com/pedrohcgs/claude-code-my-workflow
kodu-ai/claude-coder,5288,5288,199,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2191,2191,365,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6926,6926,338,9,9,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,92160,92160,9860,322,322,37,https://github.com/anthropics/skills
fuergaosi233/claude-code-proxy,2145,2145,308,4,4,0,https://github.com/fuergaosi233/claude-code-proxy
qwibitai/nanoclaw,22114,22114,4749,83,83,71,https://github.com/qwibitai/nanoclaw
Cranot/claude-code-guide,2471,2471,261,1,1,0,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-security-review,3753,3753,311,5,5,1,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2037,2037,258,1,1,0,https://github.com/RichardAtCT/claude-code-telegram
anthropics/claude-code-base-action,602,602,590,0,0,0,https://github.com/anthropics/claude-code-base-action
router-for-me/CLIProxyAPI,15975,15975,2595,93,93,15,https://github.com/router-for-me/CLIProxyAPI
edmund-io/edmunds-claude-code,1310,1310,271,0,0,0,https://github.com/edmund-io/edmunds-claude-code
https-deeplearning-ai/sc-claude-code-files,449,449,606,0,0,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
Pimzino/claude-code-spec-workflow,3518,3518,248,2,2,0,https://github.com/Pimzino/claude-code-spec-workflow
ding113/claude-code-hub,1805,1805,221,20,20,4,https://github.com/ding113/claude-code-hub
wshobson/agents,31119,31119,3410,24,24,2,https://github.com/wshobson/agents
eyaltoledano/claude-task-master,25904,25904,2452,2,2,0,https://github.com/eyaltoledano/claude-task-master
snarktank/ralph,12774,12774,1351,28,28,1,https://github.com/snarktank/ralph
siteboon/claudecodeui,8342,8342,1066,22,22,2,https://github.com/siteboon/claudecodeui
EveryInc/compound-engineering-plugin,10324,10324,819,9,9,0,https://github.com/EveryInc/compound-engineering-plugin
feiskyer/claude-code-settings,1298,1298,191,1,1,0,https://github.com/feiskyer/claude-code-settings
obra/superpowers,80420,80420,6228,535,535,47,https://github.com/obra/superpowers
carlvellotti/claude-code-pm-course,1617,1617,240,3,3,0,https://github.com/carlvellotti/claude-code-pm-course
sugyan/claude-code-webui,958,958,219,0,0,0,https://github.com/sugyan/claude-code-webui
ghuntley/claude-code-source-code-deobfuscation,859,859,420,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
lst97/claude-code-sub-agents,1459,1459,235,0,0,0,https://github.com/lst97/claude-code-sub-agents
FlorianBruniaux/claude-code-ultimate-guide,1355,1355,240,7,7,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
sickn33/antigravity-awesome-skills,23816,23816,4097,121,121,19,https://github.com/sickn33/antigravity-awesome-skills
nishimoto265/Claude-Code-Communication,493,493,239,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
darcyegb/ClaudeCodeAgents,590,590,53,2,2,0,https://github.com/darcyegb/ClaudeCodeAgents
github/spec-kit,76319,76319,6500,84,84,7,https://github.com/github/spec-kit
centminmod/my-claude-code-setup,1962,1962,182,2,2,0,https://github.com/centminmod/my-claude-code-setup
bfly123/claude_code_bridge,1566,1566,141,8,8,0,https://github.com/bfly123/claude_code_bridge
zhukunpenglinyutong/idea-claude-code-gui,1635,1635,187,11,11,0,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
rizethereum/claude-code-requirements-builder,1754,1754,173,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
slopus/happy,15028,15028,1168,29,29,4,https://github.com/slopus/happy
Njengah/claude-code-cheat-sheet,1419,1419,181,0,0,0,https://github.com/Njengah/claude-code-cheat-sheet
andrepimenta/claude-code-chat,1000,1000,154,0,0,0,https://github.com/andrepimenta/claude-code-chat
trailofbits/claude-code-config,1574,1574,120,4,4,0,https://github.com/trailofbits/claude-code-config
steipete/claude-code-mcp,1170,1170,142,0,0,0,https://github.com/steipete/claude-code-mcp
disler/claude-code-hooks-multi-agent-observability,1260,1260,354,0,0,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
anthropics/claude-plugins-official,10421,10421,1051,185,185,15,https://github.com/anthropics/claude-plugins-official
catlog22/Claude-Code-Workflow,1467,1467,121,2,2,0,https://github.com/catlog22/Claude-Code-Workflow
farion1231/cc-switch,27489,27489,1668,204,204,12,https://github.com/farion1231/cc-switch
JessyTsui/Claude-Code-Remote,1159,1159,124,1,1,0,https://github.com/JessyTsui/Claude-Code-Remote
simonw/claude-code-transcripts,1124,1124,126,2,2,0,https://github.com/simonw/claude-code-transcripts
jeremylongshore/claude-code-plugins-plus-skills,1598,1598,193,4,4,1,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
peterkrueck/Claude-Code-Development-Kit,1324,1324,152,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
jarrodwatts/claude-code-config,978,978,122,0,0,0,https://github.com/jarrodwatts/claude-code-config
0xfurai/claude-code-subagents,769,769,140,-1,-1,0,https://github.com/0xfurai/claude-code-subagents
winfunc/opcode,20902,20902,1608,8,8,0,https://github.com/winfunc/opcode
pchalasani/claude-code-tools,1577,1577,100,0,0,0,https://github.com/pchalasani/claude-code-tools
alirezarezvani/claude-code-tresor,606,606,141,1,1,0,https://github.com/alirezarezvani/claude-code-tresor
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,1919,1919,299,15,15,1,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
d-kimuson/claude-code-viewer,963,963,110,0,0,0,https://github.com/d-kimuson/claude-code-viewer
wasabeef/claude-code-cookbook,1035,1035,111,1,1,0,https://github.com/wasabeef/claude-code-cookbook
ComposioHQ/awesome-claude-skills,43550,43550,4377,106,106,9,https://github.com/ComposioHQ/awesome-claude-skills
revfactory/claude-code-mastering,761,761,124,1,1,0,https://github.com/revfactory/claude-code-mastering
Alishahryar1/free-claude-code,921,921,111,1,1,0,https://github.com/Alishahryar1/free-claude-code
cixingguangming55555/wechat-bot,2534,2534,665,0,0,0,https://github.com/cixingguangming55555/wechat-bot
anthropics/claude-agent-sdk-demos,1683,1683,262,4,4,1,https://github.com/anthropics/claude-agent-sdk-demos
ericbuess/claude-code-docs,729,729,105,0,0,0,https://github.com/ericbuess/claude-code-docs
Yeachan-Heo/oh-my-claudecode,9532,9532,671,44,44,0,https://github.com/Yeachan-Heo/oh-my-claudecode
numman-ali/openskills,8989,8989,572,4,4,0,https://github.com/numman-ali/openskills
alirezarezvani/claude-skills,4674,4674,518,100,100,14,https://github.com/alirezarezvani/claude-skills
code-yeongyu/oh-my-openagent,39572,39572,2991,101,101,7,https://github.com/code-yeongyu/oh-my-openagent
anthropics/claude-agent-sdk-python,5382,5382,714,12,12,0,https://github.com/anthropics/claude-agent-sdk-python
severity1/claude-code-prompt-improver,1246,1246,107,2,2,0,https://github.com/severity1/claude-code-prompt-improver
MadAppGang/claude-code,244,244,25,1,1,0,https://github.com/MadAppGang/claude-code
daymade/claude-code-skills,646,646,97,3,3,0,https://github.com/daymade/claude-code-skills
ccplugins/awesome-claude-code-plugins,620,620,130,2,2,1,https://github.com/ccplugins/awesome-claude-code-plugins
lyconear/Claude-Code,4,4,147,0,0,0,https://github.com/lyconear/Claude-Code
greggh/claude-code.nvim,1916,1916,61,1,1,0,https://github.com/greggh/claude-code.nvim
anomalyco/opencode,121175,121175,12547,207,207,31,https://github.com/anomalyco/opencode
PleasePrompto/notebooklm-skill,4409,4409,434,15,15,3,https://github.com/PleasePrompto/notebooklm-skill
kn1026/cc,704,704,270,0,0,0,https://github.com/kn1026/cc
BloopAI/vibe-kanban,23083,23083,2255,19,19,2,https://github.com/BloopAI/vibe-kanban
rohitg00/awesome-claude-code-toolkit,693,693,119,7,7,1,https://github.com/rohitg00/awesome-claude-code-toolkit
gsd-build/get-shit-done,28985,28985,2440,250,250,18,https://github.com/gsd-build/get-shit-done
kepano/obsidian-skills,13566,13566,741,44,44,2,https://github.com/kepano/obsidian-skills
manzaltu/claude-code-ide.el,1399,1399,84,2,2,0,https://github.com/manzaltu/claude-code-ide.el
