full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,74252,74252,5924,54,54,12,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,61728,61728,7644,286,286,41,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,21747,21747,4207,51,51,10,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,29030,29030,2222,2,2,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,22165,22165,2102,20,20,0,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,26446,26446,1657,36,36,1,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,6032,6032,1510,0,0,2,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,12611,12611,1362,22,22,3,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9162,9162,1188,3,3,1,https://github.com/diet103/claude-code-infrastructure-showcase
shanraisshan/claude-code-best-practice,10773,10773,1010,390,390,16,https://github.com/shanraisshan/claude-code-best-practice
frankbria/ralph-claude-code,7517,7517,532,4,4,1,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,5367,5367,765,9,9,0,https://github.com/Piebald-AI/claude-code-system-prompts
OneRedOak/claude-code-workflows,3686,3686,547,0,0,0,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,5448,5448,467,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
1rgs/claude-code-proxy,3140,3140,421,0,0,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3228,3228,572,1,1,0,https://github.com/disler/claude-code-hooks-mastery
kodu-ai/claude-coder,5291,5291,199,0,0,0,https://github.com/kodu-ai/claude-coder
zebbern/claude-code-guide,3513,3513,327,1,1,0,https://github.com/zebbern/claude-code-guide
ykdojo/claude-code-tips,4151,4151,290,15,15,0,https://github.com/ykdojo/claude-code-tips
Yuyz0112/claude-code-reverse,2156,2156,365,1,1,1,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6809,6809,332,0,0,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,84923,84923,8946,152,152,20,https://github.com/anthropics/skills
pedrohcgs/claude-code-my-workflow,543,543,841,3,3,6,https://github.com/pedrohcgs/claude-code-my-workflow
fuergaosi233/claude-code-proxy,2095,2095,297,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
Cranot/claude-code-guide,2444,2444,258,3,3,0,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-security-review,3582,3582,288,2,2,2,https://github.com/anthropics/claude-code-security-review
anthropics/claude-code-base-action,594,594,589,0,0,0,https://github.com/anthropics/claude-code-base-action
router-for-me/CLIProxyAPI,13516,13516,2190,17,17,3,https://github.com/router-for-me/CLIProxyAPI
wshobson/agents,30335,30335,3319,20,20,1,https://github.com/wshobson/agents
edmund-io/edmunds-claude-code,1265,1265,262,0,0,0,https://github.com/edmund-io/edmunds-claude-code
https-deeplearning-ai/sc-claude-code-files,440,440,595,1,1,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
Pimzino/claude-code-spec-workflow,3489,3489,248,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
RichardAtCT/claude-code-telegram,1926,1926,227,2,2,1,https://github.com/RichardAtCT/claude-code-telegram
qwibitai/nanoclaw,19274,19274,3119,84,84,23,https://github.com/qwibitai/nanoclaw
eyaltoledano/claude-task-master,25790,25790,2442,5,5,0,https://github.com/eyaltoledano/claude-task-master
snarktank/ralph,12128,12128,1307,16,16,0,https://github.com/snarktank/ralph
siteboon/claudecodeui,7857,7857,994,5,5,0,https://github.com/siteboon/claudecodeui
ding113/claude-code-hub,1618,1618,202,0,0,0,https://github.com/ding113/claude-code-hub
EveryInc/compound-engineering-plugin,9927,9927,788,11,11,0,https://github.com/EveryInc/compound-engineering-plugin
feiskyer/claude-code-settings,1253,1253,186,1,1,0,https://github.com/feiskyer/claude-code-settings
carlvellotti/claude-code-pm-course,1565,1565,230,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
sugyan/claude-code-webui,946,946,212,0,0,0,https://github.com/sugyan/claude-code-webui
lst97/claude-code-sub-agents,1444,1444,234,2,2,0,https://github.com/lst97/claude-code-sub-agents
ghuntley/claude-code-source-code-deobfuscation,852,852,414,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
sickn33/antigravity-awesome-skills,20492,20492,3578,116,116,17,https://github.com/sickn33/antigravity-awesome-skills
nishimoto265/Claude-Code-Communication,493,493,239,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
github/spec-kit,74381,74381,6344,66,66,4,https://github.com/github/spec-kit
centminmod/my-claude-code-setup,1941,1941,180,1,1,0,https://github.com/centminmod/my-claude-code-setup
darcyegb/ClaudeCodeAgents,577,577,51,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
rizethereum/claude-code-requirements-builder,1750,1750,172,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
andrepimenta/claude-code-chat,996,996,152,0,0,0,https://github.com/andrepimenta/claude-code-chat
bfly123/claude_code_bridge,1424,1424,132,2,2,0,https://github.com/bfly123/claude_code_bridge
slopus/happy,14285,14285,1113,7,7,0,https://github.com/slopus/happy
Njengah/claude-code-cheat-sheet,1394,1394,176,0,0,0,https://github.com/Njengah/claude-code-cheat-sheet
disler/claude-code-hooks-multi-agent-observability,1240,1240,350,1,1,1,https://github.com/disler/claude-code-hooks-multi-agent-observability
